CODE_GENDER,FLAG_OWN_CAR,FLAG_OWN_REALTY,CNT_CHILDREN,AMT_INCOME_TOTAL,NAME_INCOME_TYPE,NAME_EDUCATION_TYPE,NAME_FAMILY_STATUS,NAME_HOUSING_TYPE,FLAG_MOBIL,FLAG_WORK_PHONE,FLAG_PHONE,FLAG_EMAIL,OCCUPATION_TYPE,CNT_FAM_MEMBERS,target,Age,Unemployed,Years_Employed
F,0,1,0,135000.0,Pensioner,Secondary / secondary special,Married,House / apartment,1,0,1,0,Unknown,2.0,0,64,1,0.0
F,1,1,0,270000.0,Commercial associate,Incomplete higher,Civil marriage,Municipal apartment,1,0,1,1,High skill tech staff,2.0,0,28,0,8.693150684931506
M,1,1,0,180000.0,Working,Secondary / secondary special,Married,House / apartment,1,0,1,1,Managers,2.0,0,44,0,8.389041095890411
F,0,1,1,225000.0,Working,Secondary / secondary special,Single / not married,House / apartment,1,0,1,0,Private service staff,2.0,0,41,0,9.134246575342466
M,0,1,0,180000.0,Working,Incomplete higher,Married,House / apartment,1,0,1,0,Laborers,2.0,0,46,0,15.561643835616438
F,1,1,0,247500.0,Working,Secondary / secondary special,Married,House / apartment,1,0,0,1,Unknown,2.0,0,54,0,7.8
F,0,1,0,180000.0,Working,Secondary / secondary special,Married,House / apartment,1,1,1,0,Accountants,2.0,0,60,0,4.175342465753425
F,0,1,0,202500.0,Pensioner,Secondary / secondary special,Widow,House / apartment,1,0,0,0,Unknown,1.0,0,57,1,0.0
M,1,1,2,243000.0,Pensioner,Higher education,Married,Office apartment,1,0,0,0,Unknown,4.0,0,53,1,0.0
F,0,1,0,135000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,1,0,0,0,Laborers,2.0,0,42,0,1.3808219178082193
M,0,1,0,180000.0,Working,Secondary / secondary special,Married,House / apartment,1,0,1,0,Laborers,2.0,0,53,0,12.473972602739726
F,0,1,0,202500.0,Commercial associate,Secondary / secondary special,Single / not married,House / apartment,1,1,1,0,Sales staff,1.0,0,28,0,9.219178082191782
F,0,0,0,135000.0,Working,Secondary / secondary special,Married,House / apartment,1,0,1,0,Sales staff,2.0,0,31,0,1.4109589041095891
F,0,0,0,171000.0,Working,Secondary / secondary special,Separated,Office apartment,1,1,0,0,Drivers,1.0,0,44,0,24.27945205479452
F,0,1,0,67050.0,Pensioner,Higher education,Married,House / apartment,1,0,0,0,Unknown,2.0,0,66,1,0.0
F,0,0,0,112500.0,Working,Secondary / secondary special,Separated,House / apartment,1,0,0,0,Security staff,1.0,0,52,0,19.86027397260274
M,1,0,2,270000.0,Working,Secondary / secondary special,Married,House / apartment,1,1,0,0,Managers,4.0,0,49,0,3.016438356164384
F,0,1,0,450000.0,Working,Higher education,Civil marriage,House / apartment,1,0,0,0,High skill tech staff,2.0,0,48,0,9.142465753424656
F,0,1,1,135000.0,Working,Secondary / secondary special,Married,House / apartment,1,0,0,0,Waiters/barmen staff,3.0,0,37,0,4.517808219178082
M,1,1,0,900000.0,Working,Secondary / secondary special,Married,House / apartment,1,0,0,0,Managers,2.0,0,50,0,5.06027397260274
M,0,1,1,135000.0,Commercial associate,Secondary / secondary special,Separated,House / apartment,1,0,0,0,Security staff,2.0,0,39,0,3.723287671232877
F,0,0,0,202500.0,State servant,Higher education,Married,House / apartment,1,0,0,0,Unknown,2.0,0,46,0,11.849315068493151
F,1,1,0,202500.0,Commercial associate,Incomplete higher,Single / not married,House / apartment,1,1,1,0,Sales staff,1.0,0,27,0,0.8438356164383561
F,0,1,1,157500.0,Commercial associate,Secondary / secondary special,Married,House / apartment,1,0,1,0,Low-skill Laborers,3.0,0,42,0,6.216438356164384
M,1,0,0,247500.0,Working,Incomplete higher,Single / not married,House / apartment,1,1,0,0,Managers,1.0,0,23,0,0.8657534246575342
M,1,1,0,270000.0,Working,Secondary / secondary special,Single / not married,House / apartment,1,0,0,0,Laborers,1.0,0,37,0,4.265753424657534
F,0,0,0,121500.0,Working,Higher education,Married,House / apartment,1,0,0,0,Core staff,2.0,0,26,0,4.624657534246575
F,0,1,0,135000.0,Pensioner,Secondary / secondary special,Married,House / apartment,1,0,0,0,Unknown,2.0,0,63,1,0.0
F,0,1,1,180000.0,Working,Higher education,Married,House / apartment,1,1,0,0,High skill tech staff,3.0,0,28,0,6.706849315068493
M,1,0,0,180000.0,Working,Secondary / secondary special,Separated,Municipal apartment,1,0,0,0,Laborers,1.0,0,39,0,0.8684931506849315
F,0,0,0,135000.0,State servant,Secondary / secondary special,Married,House / apartment,1,0,0,0,High skill tech staff,2.0,0,57,0,10.36986301369863
F,0,0,1,157500.0,Working,Secondary / secondary special,Married,House / apartment,1,1,1,0,Sales staff,3.0,0,27,0,7.967123287671233
M,0,1,0,216000.0,Commercial associate,Higher education,Married,House / apartment,1,0,0,1,Managers,2.0,0,52,0,20.315068493150687
M,0,1,0,135000.0,Pensioner,Secondary / secondary special,Married,House / apartment,1,0,0,0,Unknown,2.0,0,63,1,0.0
M,1,0,1,157500.0,Working,Secondary / secondary special,Married,House / apartment,1,0,0,0,Drivers,3.0,0,42,0,5.517808219178082
M,0,1,2,450000.0,Commercial associate,Higher education,Married,House / apartment,1,1,1,0,Managers,4.0,0,33,0,5.991780821917808
F,0,0,0,135000.0,Pensioner,Secondary / secondary special,Married,House / apartment,1,0,0,0,Unknown,2.0,0,66,1,0.0
F,0,0,0,208350.0,Pensioner,Higher education,Married,House / apartment,1,0,0,0,Unknown,2.0,0,59,1,0.0
F,1,1,0,135000.0,Working,Secondary / secondary special,Separated,House / apartment,1,0,0,0,Laborers,1.0,0,44,0,3.852054794520548
F,0,1,1,315000.0,Working,Secondary / secondary special,Married,House / apartment,1,0,1,0,Core staff,3.0,0,44,0,11.895890410958904
M,1,0,0,135000.0,Working,Secondary / secondary special,Single / not married,House / apartment,1,0,0,0,Core staff,1.0,0,33,0,2.4547945205479453
F,0,1,1,135000.0,Commercial associate,Incomplete higher,Married,House / apartment,1,1,1,1,Core staff,3.0,0,26,0,5.613698630136986
F,0,0,0,90000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,1,1,1,0,Laborers,2.0,0,48,0,5.52054794520548
F,0,0,0,67500.0,Working,Secondary / secondary special,Married,House / apartment,1,1,0,0,Unknown,2.0,0,53,0,3.43013698630137
F,0,1,0,202500.0,Commercial associate,Secondary / secondary special,Married,Municipal apartment,1,0,0,0,Laborers,2.0,0,51,0,2.997260273972602
M,1,1,0,270000.0,Working,Higher education,Married,House / apartment,1,0,1,0,Unknown,2.0,0,39,0,4.298630136986302
F,0,1,2,112500.0,Commercial associate,Secondary / secondary special,Married,House / apartment,1,0,0,0,Cooking staff,4.0,0,34,0,2.808219178082192
F,0,0,0,225000.0,Working,Secondary / secondary special,Separated,House / apartment,1,0,0,0,Sales staff,1.0,0,32,0,3.802739726027397
M,1,0,0,135000.0,Working,Secondary / secondary special,Single / not married,Municipal apartment,1,0,0,0,Laborers,1.0,0,33,0,4.293150684931507
